accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN41062524	Successfully loaded	BBHS34			Diopatra cuprea	196			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062525	Successfully loaded	VaWA02			Diopatra cuprea	197			estuary	2009	USA:Wachapreague Virginia	body														
SAMN41062526	Successfully loaded	BRLS15			Diopatra cuprea	198			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062527	Successfully loaded	CHHS03			Diopatra cuprea	199			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062528	Successfully loaded	BRHS09			Diopatra cuprea	200			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062529	Successfully loaded	WBHS38			Diopatra cuprea	201			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062530	Successfully loaded	FlSB16			Diopatra cuprea	202			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062531	Successfully loaded	CHHS05			Diopatra cuprea	203			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062532	Successfully loaded	SHHS03			Diopatra cuprea	204			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062533	Successfully loaded	FlSB14			Diopatra cuprea	205			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062534	Successfully loaded	NcFR12			Diopatra cuprea	206			estuary	2012	USA:North River Estuary North Carolina	body														
SAMN41062535	Successfully loaded	CHHS10			Diopatra cuprea	207			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062536	Successfully loaded	VaWA03			Diopatra cuprea	208			estuary	2009	USA:Wachapreague Virginia	body														
SAMN41062537	Successfully loaded	NcMV11			Diopatra cuprea	209			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062538	Successfully loaded	FlAM04			Diopatra cuprea	210			estuary	2009	USA:Amelia Island Florida	body														
SAMN41062539	Successfully loaded	NjRG16			Diopatra cuprea	211			estuary	2009	USA:Rutgers New Jersey	body														
