"","V1","V2","V3","V4","V5","V6"
"VaWA07",9.9982e-05,0.201617,0.745508,0.00696751,0.0457076,9.9982e-05
"NjRG35",0.622821,0.160002,0.162817,0.0233304,0.0309304,9.9991e-05
"NjRG34",0.0566373,0.243962,0.621981,0.0707174,0.00660213,9.9991e-05
"NjRG14",0.124057,0.138751,0.676582,9.9982e-05,9.9982e-05,0.06041
"NjRG16",0.217756,0.504329,0.277615,9.9973e-05,9.9973e-05,9.9973e-05
"MaBH19",0.0819401,9.9973e-05,9.9973e-05,0.893797,9.9973e-05,0.0239625
"MaBH24",9.99731e-05,9.99731e-05,0.137454,0.851186,0.0110603,9.99731e-05
"MaWF10",0.0319848,9.9982e-05,0.251283,0.697742,9.9982e-05,0.0187902
"MaWF01",0.0227749,9.9982e-05,0.103579,0.853767,9.9982e-05,0.0196791
"MaWF51",9.9982e-05,9.9982e-05,0.288404,0.674064,0.0119743,0.0253583
"MaWF50",0.0022678,9.9964e-05,9.9964e-05,0.997332,9.9964e-05,9.9964e-05
"MaBH01",9.99639e-05,0.0313982,9.99639e-05,0.968202,9.99639e-05,9.99639e-05
"MaWF53",9.99729e-05,0.0109188,9.99729e-05,0.977474,9.99729e-05,0.0113071
"MaBH22",0.0180021,9.9964e-05,9.9964e-05,0.981598,9.9964e-05,9.9964e-05
"MaWF13",9.9991e-05,0.13334,0.364899,0.426572,0.0248804,0.050209
"MaBH20",0.0157518,9.9964e-05,9.9964e-05,0.983848,9.9964e-05,9.9964e-05
"MaWF54",9.99639e-05,0.0206092,9.99639e-05,0.978991,9.99639e-05,9.99639e-05
"MaDB04",9.99639e-05,0.0431578,9.99639e-05,0.956442,9.99639e-05,9.99639e-05
"MaWF52",9.9973e-05,0.00498483,9.9973e-05,0.975121,0.0195939,9.9973e-05
"MaWF56",9.9964e-05,0.0843072,9.9964e-05,0.915293,9.9964e-05,9.9964e-05
